AS0,Reserved (ietf),0.00,0.00,873,
AS2,UDEL-DCN - University of Delaware,0.00,0.00,165,
AS3,MIT-GATEWAYS - Massachusetts Institute of Technology,,,1,
AS3,MIT-GATEWAYS - Massachusetts Institute of Technology,0.00,0.00,1,
AS3382,ERX-JUITA-UINET University of Indonesia,0.00,0.00,894,
AS3583,ERX-IPTEK-ASN BPP Teknologi Networks Manager,0.00,0.00,181,
AS4382,INDONUSA-ID PT. Indonusa System Integrator Prima,0.00,0.00,518,
AS4434,ERX-RADNET1-AS PT Rahajasa Media Internet,0.00,0.00,3889,
AS4637,ASN-TELSTRA-GLOBAL Telstra Global,0.00,0.00,269,
AS4761,INDOSAT-INP-AP INDOSAT Internet Network Provider,0.03,0.00,676470,
AS4787,ASN-CBN PT Cyberindo Aditama,0.76,0.70,38521,
AS4795,INDOSATM2-ID INDOSATM2 ASN,42.55,40.39,27587,
AS4796,BANDUNG-NET-AS-AP Institute of Technology Bandung,83.21,1.83,6272,
AS4800,LINTASARTA-AS-AP Network Access Provider and Internet Service Provider,1.58,1.52,19944,
AS4821,SINERGINET-AS-ID PT Sinergi Semesta Telematika,0.00,0.00,127,
AS4832,INTERNUXNET-AS-ID PT. iNterNUX,0.01,0.00,153411,
AS4833,GAHARU-AS-ID PT. Gaharu Sejahtera,,,2,
AS4833,GAHARU-AS-ID PT. Gaharu Sejahtera,0.00,0.00,2,
AS4855,PI-ID-AS-AP Pacific Link Indonesia,0.00,0.00,338,
AS7713,TELKOMNET-AS-AP PT Telekomunikasi Indonesia,0.00,0.00,111,
AS9228,CENTRALONLINE-ID-AS-AP PT. Total Info Kharisma,0.00,0.00,1859,
AS9326,CENTRIN-AS-AP PT Centrin Utama,0.00,0.00,2334,
AS9340,INDONET-AS-AP INDO Internet, PT,0.00,0.00,3990,
AS9341,ICONPLN-ID-AP PT Indonesia Comnets Plus,0.00,0.00,16005,
AS9422,SOLNET-ID PT SOLNET INDONESIA,0.00,0.00,11774,
AS9462,BOLEH-NET-AP BOLEHNET-ASN,,,21,
AS9462,BOLEH-NET-AP BOLEHNET-ASN,0.00,0.00,21,
AS9657,MELSANET-ID-AP Melsa-i-net AS,0.06,0.06,6819,
AS9785,JASATELNET-AS-ID Jasa Terpadu Telematika (Jasatel),0.00,0.00,1370,
AS9794,DNET-ID-AP PT. Core Mediatech (D-NET),0.00,0.00,1303,
